,kalimat_id,kata,sense,kalimat
0,1000527,mengandung,2301,anatomi hidung penonjolan vertebrata mengandung nostril menyaring udara pernapasan
1,1000651,mengandung,2301,mandi air mengandung belerang pengobatan penyakit kulit
2,1000770,mengandung,2301,terikatnya klathrin membrane sel membentuk vesikel mengandung molekul ligan
3,1001199,mengejar,2802,menapaki karier gedung parlemen totok memiliki ambisi politik mengejar karier puncak
4,1001330,mengejar,2802,emc pengalaman wawasan mengejar tujuan utama layanan kereta barang
5,1001386,mengejar,2802,menginjak usia 17 bagas memutuskan fokus mengejar impian mencari jalan musisi sukses
6,1001455,mengejar,2801,dikejar harry ron hermione berpikir mengejar snape
7,1001469,mengejar,2802,program senjata kimia mesir maju mengejar mengembangkan senjata pemusnah massal mencapai puncaknya 1960an
8,1001582,mengejar,2801,pasukan voc mengejar pasukan mataram wilayah jatinegara
9,1001682,mengejar,2801,membuang guwarsa guwarsi mengejar kemana cupu pergi
10,1001699,mengejar,2801,amerika utara basenji dianggap anjing ras sighthound mengejar menyerang mangsa diamdiam
11,1001752,mengejar,2802,berpendapat pekerjaan perancangan lingkup kegiatan profesional konsultan mencakupi tanggung moral kehormatan perorangan terlibat sematamata berorientasi usaha mengejar laba profit oriented
12,1001801,mengejar,2801,menyadari ancaman imhotep kairo imhotep berhasil mengejar
13,1001863,mengejar,2802,januari 2012 wentz mengumumkan rexha meninggalkan band mengejar usaha
14,1001900,mengejar,2802,lee mengejar karier bidang musik memasuki bidang membantu orang anakanak disiksa
15,1001923,mengejar,2802,deklarasi menekankan hakhak masyarakat adat memelihara memperkuat institusi budaya tradisi mengejar perkembangan sesuai kebutuhan aspirasi
16,1002091,mengejar,2801,moldavia mengejar unta uang
17,1002169,mengejar,2801,harry mengejar sapunya menangkap remembrall diatas tanah
18,1002365,mengejar,2801,stunticons mencuri mobil menendang paksa cahnay berselang cahnay memilih mengemudikan bluestreak mengejar mobilnya hilang
19,1002692,mengejar,2801,sangkuriang menyuruh si tumang mengejar babi hutan celeng wayung hyang
20,1002916,mengejar,2801,cynoscephalae magnesia kegagalan mempertahankan sayap phalanx menyebabkan kekalahan pydna hilangnya kerapatan barisan phalanx mengejar tentara romawi mundur roma menembus formasi keterampilan tarung jarak romawi terbukti menentukan
21,1003018,mengejar,2801,firaun mengejar bani israel kereta laut merah
22,1003170,mengejar,2801,lapangan babak cedera tuan rumah mengejar hasil 22
23,1003184,mengejar,2802,tsunku mengejar mimpi dukungan sisa
24,1003536,mengeluarkan,2902,produsen mengeluarkan ponsel warna hitam putih
25,1003697,mengeluarkan,2902,subgenre rpg hasil campuran rpg genre game nintendo mengeluarkan franchise terkenalnya the legend of zelda 1986 permainan peranaksi action roleplaying game sistem rpg health stamina elemen genre permainan aksi
26,1004619,mengeluarkan,2906,batang daunnya kemerahmerahan dipatahkan mengeluarkan getah
27,1005735,mengeluarkan,2906,operasi tajikistan mengekstrak memproses emas antimoni tungsten merkuri molibdenum dikenal mengeluarkan limbah beracun
28,1006436,mengeluarkan,2906,gunung semeru mengeluarkan letusan 1967
29,1006803,mengeluarkan,2906,lambung sel utama mengeluarkan pepsinogen
30,1007624,mengeluarkan,2902,2003 netral mengeluarkan klip berjudul namanya netral
31,1007978,mengeluarkan,2902,guangxu mengeluarkan dekret memperbolehkan didirikannya universitas modern beijing pembangunan rel kereta api luhan sistem anggaran negara barat
32,1008670,mengeluarkan,2906,detik diaktifkan ponsel mengeluarkan nada dering tampilan layar telepon masuk nomor dikenal
33,1009565,mengeluarkan,2902,januari 2011 badan perlindungan lingkungan amerika serikat mengeluarkan surat pernyataan mencampurkan etanol bensin 15 e15
34,1009778,mengikat,2201,gambar lembu jantan pohon cemara orang menunggang kuda orang mengikat kerbau
35,1010064,mengikat,2201,berbeda wanita tionghoa kelompok wanita hakka menolak mengikat kaki sesuai peran pekerjaan
36,1010160,mengikat,2201,antonio pigafetta penulis kronik magellan mencatat suku tagbanwa mempraktikkan ritual penyatuan darah budi daya pertanian perburuan sumpit panah kayu menyimpan memakai cincin rantai kuningan lonceng pisau kawat tembaga mengikat kait ikan mengadu ayam menyuling minuman beralkohol beras
37,1010470,mengikat,2201,mengikat bulu appa lengannya momo meninggalkan rumah aang mencari appa
38,1010608,mengikat,2201,ryan semenamena mengikat neneknenek renta aming tiang listrik luculucuan
39,1010686,mengikat,2201,orang berpakaian petugas polisi mengikat menutup mulutnya mencuri perhiasan seharga 10 juta
40,1010848,mengikat,2201,nama gyptian julukan dapatkan kebiasaanya suka mengikat kaos kepala memutarmutar jenggot layaknya firaun mesir
41,1010909,mengikat,2204,anchoring junctions 4 bentuk berbeda fungsional adherens junctions desmosom memegang sel bersamasama dibentuk transmembrane adhesion proteins famili cadherin focal adhesions hemidesmosom mengikat selsel matriks ekstraseluler dibentuk transmembrane adhesion proteins famili integrin
42,1011033,mengisi,3201,2006 mls memecahkan semuacatatan kehadiran pertandingan musim reguler 92650 penonton mengisi los angeles coliseum minggu agustus
43,1011373,mengisi,3201,bentuk energi gelap diusulkan konstanta kosmologi energi kerapatannya homogen mengisi ruang quintessence medan dinamis kepadatan energinya berubah ruang
