,kalimat_id,kata,sense,kalimat,freq
0,1000113,mengandung,2301,sendang bermata air tawar penduduk menamainya sendang mberan sumbernya sendang mata air mengandung belerang dinamakan sendang gong jaman nenek moyang sumbernya ditutup gong,2
1,1000113,mengandung,2301,sendang bermata air tawar penduduk menamainya sendang mberan sumbernya sendang mata air mengandung belerang dinamakan sendang gong jaman nenek moyang sumbernya ditutup gong,1
2,1000354,mengandung,2301,osmofili ragi salah organisme menyebabkan pembusukan hasil olahan industri gula makanan mengandung zat manis produkproduk jus buah jus buah konsentrat gula cair sirup madu marzipan,2
3,1000354,mengandung,2301,osmofili ragi salah organisme menyebabkan pembusukan hasil olahan industri gula makanan mengandung zat manis,1
4,1000621,mengandung,2301,bertemu jill bandara meninggalkan jakarta jill hamil mengandung anak terbang eropa,1
5,1000621,mengandung,2302,bertemu jill bandara meninggalkan jakarta jill hamil mengandung anak terbang eropa,2
6,1001117,mengejar,2801,mr frank churchill putra mr weston pernikahan terdahulunya pemuda ramah diatur disukai orang kecuali mr knightley menganggap dewasa kecembuannya frank mengejar emma,2
7,1001117,mengejar,2802,mr frank churchill putra mr weston pernikahan terdahulunya pemuda ramah diatur disukai orang kecuali mr knightley menganggap dewasa kecembuannya frank mengejar emma,1
8,1001733,mengejar,2801,hukuman orion mengejar peliades mendapatkannya dikejar kalajengking zodiak scorpio,2
9,1001733,mengejar,2802,hukuman orion mengejar peliades mendapatkannya dikejar kalajengking zodiak scorpio,1
10,1001766,mengejar,2801,lulus institut dongah media seni jurusan applied musicdia mengikuti audisi woollim entertainment mengejar karier penyanyi solo diterima woollim 2 agensi salah satunya yg entertainment,1
11,1001766,mengejar,2802,lulus institut dongah media seni jurusan applied musicdia mengikuti audisi woollim entertainment mengejar karier penyanyi solo diterima woollim 2 agensi salah satunya yg entertainment,2
12,1002152,mengejar,2801,beralih mumbai mengejar karier bidang modeling,1
13,1002152,mengejar,2802,beralih mumbai mengejar karier bidang modeling,2
14,1002209,mengejar,2801,sokrates mengaku membahas motifnya membantah kritias memeriksa mengejar argumen kepentingannya 166c d,1
15,1002209,mengejar,2802,sokrates mengaku membahas motifnya membantah kritias memeriksa mengejar argumen kepentingannya 166c d,2
16,1002271,mengejar,2802,akun toma kali muncul 803 vardanis tourkos mengejar karier militer meluncurkan pemberontakannya 820,1
17,1002271,mengejar,2802,akun toma kali muncul 803 vardanis tourkos mengejar karier militer meluncurkan pemberontakannya 820,1
18,1002271,mengejar,2802,akun tomaž kali muncul 803 vardanis tourkos mengejar karier militer meluncurkan pemberontakannya 820,1
19,1002454,mengejar,2801,memprihatikan mengejar gaji mempertimbangan risiko ironi memprihatikan tki tkw desa clumprit lulusan perguruan tinggisektor pertanian generasi tua buruh tani desa tetangga,1
20,1002454,mengejar,2802,memprihatikan mengejar gaji mempertimbangan risiko ironi memprihatikan tki tkw desa clumprit lulusan perguruan tinggisektor pertanian generasi tua buruh tani desa tetangga,2
21,1002566,mengejar,2801,mengejar nami desa kokoyashi,1
22,1002566,mengejar,2801,mengejar nami desa kokoyashi,2
23,1003958,mengeluarkan,2901,perdagangan kesultanan pasai mengeluarkan koin emas alat transaksi masyarakatnya mata uang deureuham dirham 70 emas murni berat 060 gram diameter 10 mm mutu 17 karat,1
24,1003958,mengeluarkan,2902,perdagangan kesultanan pasai mengeluarkan koin emas alat transaksi masyarakatnya mata uang deureuham dirham 70 emas murni berat 060 gram diameter 10 mm mutu 17 karat,1
